2026-02-02 23:31 | Utente: cassa1 | IP: 192.168.1.12
2026-02-03 00:02 | Utente: cassa2 | IP: 192.168.1.11
2026-02-03 00:32 | Utente: utente_ignoto | IP: 95.10.22.33
2026-02-03 01:15 | Utente: melissa | IP: 192.168.1.12
2026-02-03 01:36 | Utente: cassa1 | IP: 192.168.1.10
2026-02-03 02:13 | Utente: cassa1 | IP: 192.168.1.10
2026-02-03 02:33 | Utente: melissa | IP: 192.168.1.10
2026-02-03 02:47 | Utente: guest | IP: 142.250.180.14
2026-02-03 03:21 | Utente: melissa | IP: 192.168.1.10
2026-02-03 03:46 | Utente: admin | IP: 192.168.1.12
2026-02-03 03:52 | Utente: cassa2 | IP: 192.168.1.10
2026-02-03 04:25 | Utente: cassa1 | IP: 192.168.1.11
2026-02-03 04:33 | Utente: melissa | IP: 192.168.1.10
2026-02-03 04:53 | Utente: melissa | IP: 192.168.1.10
2026-02-03 05:38 | Utente: admin | IP: 192.168.1.10
2026-02-03 06:01 | Utente: cassa1 | IP: 192.168.1.11
2026-02-03 06:28 | Utente: admin | IP: 192.168.1.11
2026-02-03 06:43 | Utente: cassa1 | IP: 192.168.1.12
2026-02-03 07:18 | Utente: cassa2 | IP: 192.168.1.12
2026-02-03 07:37 | Utente: root | IP: 95.10.22.33
